job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Financial Analysis & Budgeting,Macro Group,"Sheraton, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Accounting · Analysis · Commerce · Corporate Finance · Financial Forecasting · Forecasting · Financial
Accounting Manager,Confidential,"6th of October, Giza, Egypt",2 months ago,Full Time,On-site,Manager, 10 - 15 ,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · CMA · Accounting · Analysis · Finance · Communication skills · Financial Analysis · Financial Management
Senior GIS Developer,Syad Tech,"Cairo, Egypt",2 months ago,Full Time,Remote,Experienced, 5 - 10 ,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · HTML5 · .Net · CSS3 · JavaScript · Python · ASP.Net · GIS · Esri
Full Stack Developer,proleaders,"Alexandria, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 10 ,"Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Full Stack · HTML · Computer Science · Java · MySQL · Software Development · Laravel · Vue.js,"
ERP Support Specialist,DIRAC SYSTEMS,"Heliopolis, Cairo, Egypt",2 months ago,Full Time,Shift Based,Experienced, 0 - 2 ,Experienced · 0 - 2 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Business Administration · Accounting · ERP · Software Deployment · Oracle · MySQL · Oracle Application Server · Software Testing
Senior Analytics Developer,Xceed Contact Center,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Analysis · Azure · Cloud · Communication · Information Technology (IT) · SQL · Software Engineering
Pricing and Cost Senior Accountant,Kandil Glass,"10th of Ramadan City, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 4 - 7 ,Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Cost Accounting · Cost · ERP · excel · Finance · Financial Analysis · Financial
Financial Accountant,BS Egypt,"Bolkly, Alexandria, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Bookkeeping · Financial · Finance · Management · Tax · excel
Sr. SEO Specialist,ByGrit,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Analyst/Research · SEO · Search Engine Optimization · Social Media Optimization · Social Media · Communication skills · Marketing · Seo strategy
Full Stack Team Lead,Pyramids Pharmacy,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,Hybrid,Manager, 4 - 10 ,Manager · 4 - 10 Yrs of Exp · IT/Software Development · Information Technology (IT) · Full Stack · JavaScript · Python · Angular · Computer Science · CSS · HTML · Java
